invoice_no,invoice_date,invoice_month,country,market_group,day_type,invoice_total,total_units,distinct_items,customer_id
538310,2010-12-10 13:44:00,2010-12,United Kingdom,United Kingdom,Weekday,25.799999999999997,20,2,15529
538311,2010-12-10 13:48:00,2010-12,Portugal,International,Weekday,311.95,131,14,12785
538312,2010-12-10 13:48:00,2010-12,United Kingdom,United Kingdom,Weekday,256.32,167,41,16727
538313,2010-12-10 13:50:00,2010-12,United Kingdom,United Kingdom,Weekday,1076.3200000000002,290,23,15514
538327,2010-12-10 13:58:00,2010-12,United Kingdom,United Kingdom,Weekday,401.92,226,22,15514
538342,2010-12-10 14:04:00,2010-12,United Kingdom,United Kingdom,Weekday,39.949999999999996,47,1,15514
538343,2010-12-10 14:29:00,2010-12,United Kingdom,United Kingdom,Weekday,385.58000000000004,170,16,13448
538345,2010-12-10 14:45:00,2010-12,United Kingdom,United Kingdom,Weekday,106.4,56,7,13787
538346,2010-12-10 14:53:00,2010-12,United Kingdom,United Kingdom,Weekday,756.45,387,36,17865
538347,2010-12-10 14:54:00,2010-12,United Kingdom,United Kingdom,Weekday,317.5,83,31,17220
538349,2010-12-10 14:59:00,2010-12,United Kingdom,United Kingdom,Weekday,6602.3099999999995,1504,607,
538351,2010-12-10 15:17:00,2010-12,United Kingdom,United Kingdom,Weekday,12633.67,2229,140,
538352,2010-12-10 15:21:00,2010-12,United Kingdom,United Kingdom,Weekday,173.7,46,3,16565
538353,2010-12-10 15:31:00,2010-12,United Kingdom,United Kingdom,Weekday,3762.66,2420,37,13798
538354,2010-12-10 15:45:00,2010-12,United Kingdom,United Kingdom,Weekday,2157.64,1040,68,16873
538355,2010-12-10 15:49:00,2010-12,United Kingdom,United Kingdom,Weekday,9.9,2,1,17912
538356,2010-12-10 15:56:00,2010-12,United Kingdom,United Kingdom,Weekday,966.62,712,21,14062
538358,2010-12-10 16:09:00,2010-12,United Kingdom,United Kingdom,Weekday,21.7,6,6,
538361,2010-12-10 16:36:00,2010-12,United Kingdom,United Kingdom,Weekday,158.0,59,26,17757
538363,2010-12-10 17:14:00,2010-12,United Kingdom,United Kingdom,Weekday,156.65,65,19,18016
538364,2010-12-10 17:26:00,2010-12,United Kingdom,United Kingdom,Weekday,102.35000000000001,44,18,14448
538365,2010-12-12 10:11:00,2010-12,United Kingdom,United Kingdom,Weekend,326.7,100,18,17243
538366,2010-12-12 10:47:00,2010-12,United Kingdom,United Kingdom,Weekend,275.3,44,7,18109
538367,2010-12-12 10:48:00,2010-12,United Kingdom,United Kingdom,Weekend,664.01,635,42,14800
538368,2010-12-12 10:57:00,2010-12,United Kingdom,United Kingdom,Weekend,141.04,70,66,15503
538369,2010-12-12 11:06:00,2010-12,United Kingdom,United Kingdom,Weekend,269.83,108,37,17251
538370,2010-12-12 11:06:00,2010-12,United Kingdom,United Kingdom,Weekend,550.5,218,47,16923
538371,2010-12-12 11:07:00,2010-12,United Kingdom,United Kingdom,Weekend,333.54,193,34,15570
538374,2010-12-12 11:17:00,2010-12,United Kingdom,United Kingdom,Weekend,189.92,112,50,14159
538378,2010-12-12 11:26:00,2010-12,United Kingdom,United Kingdom,Weekend,346.90000000000003,131,34,14577
538379,2010-12-12 11:26:00,2010-12,United Kingdom,United Kingdom,Weekend,201.95,79,50,17126
538382,2010-12-12 11:37:00,2010-12,United Kingdom,United Kingdom,Weekend,214.24,84,37,17218
538397,2010-12-12 11:44:00,2010-12,Japan,International,Weekend,3590.59,2409,48,12753
538403,2010-12-12 11:46:00,2010-12,United Kingdom,United Kingdom,Weekend,324.22,196,22,17211
538409,2010-12-12 11:49:00,2010-12,United Kingdom,United Kingdom,Weekend,126.28,67,9,17236
538417,2010-12-12 11:54:00,2010-12,United Kingdom,United Kingdom,Weekend,106.75,51,10,16393
538418,2010-12-12 12:00:00,2010-12,United Kingdom,United Kingdom,Weekend,168.46,127,44,17372
538419,2010-12-12 12:01:00,2010-12,United Kingdom,United Kingdom,Weekend,167.09,87,33,16367
538420,2010-12-12 12:03:00,2010-12,United Kingdom,United Kingdom,Weekend,293.76000000000005,1728,1,12875
538421,2010-12-12 12:08:00,2010-12,United Kingdom,United Kingdom,Weekend,107.16,55,28,17917
538437,2010-12-12 12:18:00,2010-12,United Kingdom,United Kingdom,Weekend,110.1,46,24,16010
538449,2010-12-12 12:24:00,2010-12,United Kingdom,United Kingdom,Weekend,448.74,227,53,17085
538453,2010-12-12 12:26:00,2010-12,United Kingdom,United Kingdom,Weekend,330.92,195,26,16779
538470,2010-12-12 12:34:00,2010-12,United Kingdom,United Kingdom,Weekend,11.6,2,2,15224
538473,2010-12-12 12:35:00,2010-12,United Kingdom,United Kingdom,Weekend,177.66,66,14,13668
538488,2010-12-12 12:41:00,2010-12,United Kingdom,United Kingdom,Weekend,210.13,119,28,13715
538497,2010-12-12 12:44:00,2010-12,United Kingdom,United Kingdom,Weekend,168.36,70,44,14684
538499,2010-12-12 12:46:00,2010-12,United Kingdom,United Kingdom,Weekend,388.65,35,2,17819
538501,2010-12-12 12:51:00,2010-12,United Kingdom,United Kingdom,Weekend,11.9,2,1,13715
538503,2010-12-12 12:56:00,2010-12,United Kingdom,United Kingdom,Weekend,513.64,174,6,17188
538504,2010-12-12 13:01:00,2010-12,United Kingdom,United Kingdom,Weekend,160.65,97,16,16011
538507,2010-12-12 13:26:00,2010-12,United Kingdom,United Kingdom,Weekend,767.37,559,54,15547
538508,2010-12-12 13:32:00,2010-12,United Kingdom,United Kingdom,Weekend,863.39,466,118,15998
538509,2010-12-12 13:37:00,2010-12,United Kingdom,United Kingdom,Weekend,121.05,67,22,14413
538510,2010-12-12 13:47:00,2010-12,United Kingdom,United Kingdom,Weekend,157.92,75,32,18004
538511,2010-12-12 13:56:00,2010-12,United Kingdom,United Kingdom,Weekend,214.74,118,16,13959
538512,2010-12-12 14:03:00,2010-12,United Kingdom,United Kingdom,Weekend,135.39999999999998,59,9,16665
538513,2010-12-12 14:21:00,2010-12,United Kingdom,United Kingdom,Weekend,179.1,86,23,15454
538514,2010-12-12 14:27:00,2010-12,United Kingdom,United Kingdom,Weekend,786.35,303,47,15044
538515,2010-12-12 14:43:00,2010-12,United Kingdom,United Kingdom,Weekend,1393.56,564,13,17937
538516,2010-12-12 14:49:00,2010-12,United Kingdom,United Kingdom,Weekend,204.0,48,1,14608
538517,2010-12-12 16:05:00,2010-12,United Kingdom,United Kingdom,Weekend,278.98,149,41,17618
538518,2010-12-12 16:14:00,2010-12,United Kingdom,United Kingdom,Weekend,1038.6,506,126,14505
538519,2010-12-12 16:20:00,2010-12,United Kingdom,United Kingdom,Weekend,31.3,6,6,18037
538520,2010-12-12 16:21:00,2010-12,United Kingdom,United Kingdom,Weekend,23.3,4,3,
538521,2010-12-13 09:02:00,2010-12,United Kingdom,United Kingdom,Weekday,339.40000000000003,56,17,14180
538522,2010-12-13 09:09:00,2010-12,United Kingdom,United Kingdom,Weekday,539.2,552,6,16210
538523,2010-12-13 09:29:00,2010-12,United Kingdom,United Kingdom,Weekday,384.55,270,24,13198
538524,2010-12-13 09:35:00,2010-12,United Kingdom,United Kingdom,Weekday,5344.98,1303,488,
538525,2010-12-13 09:39:00,2010-12,Spain,International,Weekday,881.01,300,20,12540
538526,2010-12-13 09:49:00,2010-12,United Kingdom,United Kingdom,Weekday,1206.72,864,4,13225
538527,2010-12-13 09:52:00,2010-12,United Kingdom,United Kingdom,Weekday,418.92,336,7,15361
538528,2010-12-13 09:57:00,2010-12,United Kingdom,United Kingdom,Weekday,103.5,56,6,15689
538529,2010-12-13 10:24:00,2010-12,United Kingdom,United Kingdom,Weekday,777.5600000000001,220,23,14290
538532,2010-12-13 10:31:00,2010-12,United Kingdom,United Kingdom,Weekday,318.85,117,13,13209
538533,2010-12-13 10:31:00,2010-12,United Kingdom,United Kingdom,Weekday,357.61,238,36,14796
538534,2010-12-13 10:36:00,2010-12,United Kingdom,United Kingdom,Weekday,40.8,48,1,15881
538535,2010-12-13 10:39:00,2010-12,United Kingdom,United Kingdom,Weekday,127.0,61,7,17790
538537,2010-12-13 10:41:00,2010-12,United Kingdom,United Kingdom,Weekday,347.71,105,8,12747
538541,2010-12-13 10:46:00,2010-12,United Kingdom,United Kingdom,Weekday,540.95,227,15,17428
538557,2010-12-13 10:52:00,2010-12,United Kingdom,United Kingdom,Weekday,27.8,4,2,17790
538558,2010-12-13 10:58:00,2010-12,United Kingdom,United Kingdom,Weekday,309.71999999999997,562,34,13069
538565,2010-12-13 11:11:00,2010-12,United Kingdom,United Kingdom,Weekday,1.9,2,1,13069
538566,2010-12-13 11:21:00,2010-12,United Kingdom,United Kingdom,Weekday,4909.89,1034,471,
538567,2010-12-13 11:23:00,2010-12,United Kingdom,United Kingdom,Weekday,302.1,265,17,13999
538576,2010-12-13 11:29:00,2010-12,United Kingdom,United Kingdom,Weekday,166.22,70,13,14498
538591,2010-12-13 11:44:00,2010-12,United Kingdom,United Kingdom,Weekday,310.8,296,10,14741
538592,2010-12-13 11:47:00,2010-12,United Kingdom,United Kingdom,Weekday,230.1,92,15,15854
538593,2010-12-13 11:51:00,2010-12,United Kingdom,United Kingdom,Weekday,476.76,366,11,16701
538594,2010-12-13 11:57:00,2010-12,United Kingdom,United Kingdom,Weekday,218.1,490,2,16927
538596,2010-12-13 12:10:00,2010-12,United Kingdom,United Kingdom,Weekday,168.0,72,7,17990
538597,2010-12-13 12:26:00,2010-12,United Kingdom,United Kingdom,Weekday,171.04,196,26,15555
538625,2010-12-13 12:50:00,2010-12,United Kingdom,United Kingdom,Weekday,1101.77,836,53,14544
538626,2010-12-13 12:57:00,2010-12,United Kingdom,United Kingdom,Weekday,767.6,336,55,17338
538627,2010-12-13 12:59:00,2010-12,United Kingdom,United Kingdom,Weekday,14.44,12,7,
538629,2010-12-13 13:10:00,2010-12,United Kingdom,United Kingdom,Weekday,223.48,133,30,17799
538630,2010-12-13 13:25:00,2010-12,United Kingdom,United Kingdom,Weekday,1167.41,640,54,14565
538631,2010-12-13 13:27:00,2010-12,United Kingdom,United Kingdom,Weekday,689.04,440,9,13408
538633,2010-12-13 13:28:00,2010-12,United Kingdom,United Kingdom,Weekday,129.57,57,20,16726
538634,2010-12-13 13:28:00,2010-12,United Kingdom,United Kingdom,Weekday,466.49,237,38,14085
538635,2010-12-13 13:32:00,2010-12,United Kingdom,United Kingdom,Weekday,250.04,144,53,17303
538636,2010-12-13 13:50:00,2010-12,United Kingdom,United Kingdom,Weekday,676.54,272,41,14639
538637,2010-12-13 13:52:00,2010-12,United Kingdom,United Kingdom,Weekday,244.19,129,44,17611
538638,2010-12-13 14:16:00,2010-12,United Kingdom,United Kingdom,Weekday,232.01,116,50,17231
538639,2010-12-13 14:24:00,2010-12,United Kingdom,United Kingdom,Weekday,243.0,98,20,17179
538640,2010-12-13 14:32:00,2010-12,United Kingdom,United Kingdom,Weekday,145.0,90,6,17524
538641,2010-12-13 14:36:00,2010-12,United Kingdom,United Kingdom,Weekday,1485.78,772,37,15640
538644,2010-12-13 14:39:00,2010-12,Germany,International,Weekday,12.45,2,2,12476
538645,2010-12-13 14:52:00,2010-12,United Kingdom,United Kingdom,Weekday,310.74,230,16,13269
538646,2010-12-13 14:55:00,2010-12,United Kingdom,United Kingdom,Weekday,346.14,208,14,17293
538648,2010-12-13 14:56:00,2010-12,United Kingdom,United Kingdom,Weekday,760.32,240,5,17937
538649,2010-12-13 15:03:00,2010-12,United Kingdom,United Kingdom,Weekday,14.149999999999999,3,2,
538651,2010-12-13 15:07:00,2010-12,United Kingdom,United Kingdom,Weekday,280.94,78,23,15311
538652,2010-12-13 15:12:00,2010-12,United Kingdom,United Kingdom,Weekday,463.01,330,61,17890
538653,2010-12-13 15:12:00,2010-12,United Kingdom,United Kingdom,Weekday,1247.64,504,18,13089
538654,2010-12-13 15:13:00,2010-12,United Kingdom,United Kingdom,Weekday,91.9,26,5,13089
538655,2010-12-13 15:16:00,2010-12,United Kingdom,United Kingdom,Weekday,109.71000000000001,69,21,17375
538656,2010-12-13 15:20:00,2010-12,United Kingdom,United Kingdom,Weekday,92.14,39,7,17371
538657,2010-12-13 15:26:00,2010-12,United Kingdom,United Kingdom,Weekday,201.4,63,16,15867
538658,2010-12-13 15:34:00,2010-12,United Kingdom,United Kingdom,Weekday,125.2,131,7,17969
538659,2010-12-13 15:36:00,2010-12,United Kingdom,United Kingdom,Weekday,585.53,255,34,14625
538660,2010-12-13 15:37:00,2010-12,United Kingdom,United Kingdom,Weekday,1228.4,419,41,15808
538661,2010-12-13 15:42:00,2010-12,United Kingdom,United Kingdom,Weekday,309.05,119,11,15194
538662,2010-12-13 15:44:00,2010-12,United Kingdom,United Kingdom,Weekday,1822.88,980,46,15159
538663,2010-12-13 15:45:00,2010-12,United Kingdom,United Kingdom,Weekday,38.1,8,2,15159
538664,2010-12-13 15:46:00,2010-12,United Kingdom,United Kingdom,Weekday,1695.1200000000001,844,33,14733
538665,2010-12-13 15:56:00,2010-12,United Kingdom,United Kingdom,Weekday,177.35,73,10,17576
538666,2010-12-13 15:57:00,2010-12,United Kingdom,United Kingdom,Weekday,12.850000000000001,7,6,
538667,2010-12-13 16:01:00,2010-12,United Kingdom,United Kingdom,Weekday,1.9,2,1,12748
538668,2010-12-13 16:17:00,2010-12,United Kingdom,United Kingdom,Weekday,110.7,46,2,13211
538669,2010-12-13 16:18:00,2010-12,United Kingdom,United Kingdom,Weekday,0.95,1,1,12748
538671,2010-12-13 16:38:00,2010-12,United Kingdom,United Kingdom,Weekday,365.55,113,5,15777
538678,2010-12-13 16:46:00,2010-12,United Kingdom,United Kingdom,Weekday,67.72,33,16,
538679,2010-12-13 17:03:00,2010-12,United Kingdom,United Kingdom,Weekday,150.68,52,11,16455
538683,2010-12-13 17:40:00,2010-12,United Kingdom,United Kingdom,Weekday,462.3,312,19,14525
538685,2010-12-14 09:39:00,2010-12,United Kingdom,United Kingdom,Weekday,15.0,1,1,15694
538687,2010-12-14 09:50:00,2010-12,United Kingdom,United Kingdom,Weekday,650.1,210,5,13324
538688,2010-12-14 09:50:00,2010-12,United Kingdom,United Kingdom,Weekday,148.36,100,7,14829
538689,2010-12-14 09:52:00,2010-12,United Kingdom,United Kingdom,Weekday,300.92,146,16,13050
538697,2010-12-14 10:18:00,2010-12,United Kingdom,United Kingdom,Weekday,102.0,40,3,13948
538706,2010-12-14 10:34:00,2010-12,United Kingdom,United Kingdom,Weekday,312.4,392,13,14667
538707,2010-12-14 10:38:00,2010-12,United Kingdom,United Kingdom,Weekday,167.01,76,42,17894
538708,2010-12-14 10:43:00,2010-12,United Kingdom,United Kingdom,Weekday,365.27,191,18,16202
538709,2010-12-14 10:46:00,2010-12,United Kingdom,United Kingdom,Weekday,147.06,61,44,16442
538710,2010-12-14 10:48:00,2010-12,United Kingdom,United Kingdom,Weekday,198.95000000000002,117,12,18075
538714,2010-12-14 11:01:00,2010-12,United Kingdom,United Kingdom,Weekday,275.45,137,26,14524
538715,2010-12-14 11:03:00,2010-12,United Kingdom,United Kingdom,Weekday,325.22,118,18,14907
538716,2010-12-14 11:04:00,2010-12,United Kingdom,United Kingdom,Weekday,17.4,12,1,14907
538719,2010-12-14 11:10:00,2010-12,United Kingdom,United Kingdom,Weekday,60.0,48,1,15602
538721,2010-12-14 11:11:00,2010-12,United Kingdom,United Kingdom,Weekday,11.8,4,1,17526
538722,2010-12-14 11:12:00,2010-12,United Kingdom,United Kingdom,Weekday,307.39,104,20,17975
538724,2010-12-14 11:12:00,2010-12,United Kingdom,United Kingdom,Weekday,2.95,1,1,
538744,2010-12-14 11:26:00,2010-12,United Kingdom,United Kingdom,Weekday,195.8,110,54,15356
538753,2010-12-14 11:29:00,2010-12,United Kingdom,United Kingdom,Weekday,134.64999999999998,38,6,14901
538778,2010-12-14 11:37:00,2010-12,United Kingdom,United Kingdom,Weekday,39.45,13,9,
538783,2010-12-14 11:38:00,2010-12,United Kingdom,United Kingdom,Weekday,976.7,490,30,14961
538785,2010-12-14 11:39:00,2010-12,United Kingdom,United Kingdom,Weekday,206.0,76,8,14961
538795,2010-12-14 11:42:00,2010-12,United Kingdom,United Kingdom,Weekday,293.85,109,10,13267
538796,2010-12-14 11:43:00,2010-12,United Kingdom,United Kingdom,Weekday,304.5,190,17,17041
538797,2010-12-14 11:44:00,2010-12,United Kingdom,United Kingdom,Weekday,10.5,25,1,17685
538799,2010-12-14 11:48:00,2010-12,United Kingdom,United Kingdom,Weekday,706.25,225,59,15039
538800,2010-12-14 11:51:00,2010-12,United Kingdom,United Kingdom,Weekday,193.9,86,10,16458
538801,2010-12-14 11:51:00,2010-12,United Kingdom,United Kingdom,Weekday,337.98,384,17,16083
538807,2010-12-14 12:06:00,2010-12,United Kingdom,United Kingdom,Weekday,252.62,118,26,17194
538808,2010-12-14 12:11:00,2010-12,United Kingdom,United Kingdom,Weekday,632.52,751,43,14057
538809,2010-12-14 12:17:00,2010-12,United Kingdom,United Kingdom,Weekday,306.52,208,11,15514
538810,2010-12-14 12:18:00,2010-12,United Kingdom,United Kingdom,Weekday,120.95,33,21,14871
538811,2010-12-14 12:22:00,2010-12,United Kingdom,United Kingdom,Weekday,710.0,388,32,13178
538812,2010-12-14 12:25:00,2010-12,United Kingdom,United Kingdom,Weekday,74.25,53,6,18044
538814,2010-12-14 12:30:00,2010-12,United Kingdom,United Kingdom,Weekday,324.72,140,25,15983
538815,2010-12-14 12:30:00,2010-12,United Kingdom,United Kingdom,Weekday,179.87,75,11,18219
538816,2010-12-14 12:35:00,2010-12,United Kingdom,United Kingdom,Weekday,479.35,81,15,16812
538817,2010-12-14 12:38:00,2010-12,United Kingdom,United Kingdom,Weekday,301.2,360,4,16191
538826,2010-12-14 12:58:00,2010-12,Cyprus,International,Weekday,1587.07,916,82,12370
538827,2010-12-14 12:59:00,2010-12,United Kingdom,United Kingdom,Weekday,2594.7599999999998,2552,89,14298
538828,2010-12-14 13:00:00,2010-12,United Kingdom,United Kingdom,Weekday,231.84,300,4,14298
538829,2010-12-14 13:00:00,2010-12,United Kingdom,United Kingdom,Weekday,326.4,384,1,16191
538830,2010-12-14 13:01:00,2010-12,United Kingdom,United Kingdom,Weekday,146.46,78,5,14298
538831,2010-12-14 13:02:00,2010-12,United Kingdom,United Kingdom,Weekday,337.59999999999997,224,4,18144
538832,2010-12-14 13:03:00,2010-12,United Kingdom,United Kingdom,Weekday,413.79,251,25,17158
538836,2010-12-14 13:09:00,2010-12,United Kingdom,United Kingdom,Weekday,234.85999999999999,111,21,12748
538839,2010-12-14 13:10:00,2010-12,United Kingdom,United Kingdom,Weekday,292.89,107,42,14606
538841,2010-12-14 13:11:00,2010-12,United Kingdom,United Kingdom,Weekday,170.55,75,16,16899
538843,2010-12-14 13:18:00,2010-12,United Kingdom,United Kingdom,Weekday,152.1,45,17,16033
538844,2010-12-14 13:19:00,2010-12,United Kingdom,United Kingdom,Weekday,1194.52,470,17,14680
538845,2010-12-14 13:19:00,2010-12,United Kingdom,United Kingdom,Weekday,92.82,74,6,16531
538846,2010-12-14 13:22:00,2010-12,United Kingdom,United Kingdom,Weekday,11.0,4,2,14606
538848,2010-12-14 13:28:00,2010-12,Sweden,International,Weekday,1188.0,240,1,17404
538849,2010-12-14 13:31:00,2010-12,United Kingdom,United Kingdom,Weekday,852.68,458,80,14415
538850,2010-12-14 13:31:00,2010-12,United Kingdom,United Kingdom,Weekday,147.35,59,9,16499
538851,2010-12-14 13:32:00,2010-12,United Kingdom,United Kingdom,Weekday,310.85,187,16,16556
538852,2010-12-14 13:33:00,2010-12,United Kingdom,United Kingdom,Weekday,198.07,107,29,17372
538853,2010-12-14 13:35:00,2010-12,United Kingdom,United Kingdom,Weekday,214.77,270,55,16805
538854,2010-12-14 13:44:00,2010-12,United Kingdom,United Kingdom,Weekday,357.1,152,12,13102
538855,2010-12-14 13:50:00,2010-12,United Kingdom,United Kingdom,Weekday,488.09,219,30,16503
538856,2010-12-14 13:51:00,2010-12,United Kingdom,United Kingdom,Weekday,293.4,220,5,14057
538857,2010-12-14 13:58:00,2010-12,United Kingdom,United Kingdom,Weekday,150.75,62,10,15311
538858,2010-12-14 13:58:00,2010-12,United Kingdom,United Kingdom,Weekday,951.24,640,11,16553
538859,2010-12-14 13:59:00,2010-12,United Kingdom,United Kingdom,Weekday,658.2,428,6,16553
538860,2010-12-14 14:02:00,2010-12,United Kingdom,United Kingdom,Weekday,115.35,52,12,17757
538862,2010-12-14 14:11:00,2010-12,United Kingdom,United Kingdom,Weekday,149.5,52,17,16710
538863,2010-12-14 14:15:00,2010-12,United Kingdom,United Kingdom,Weekday,341.65999999999997,138,43,16919
538864,2010-12-14 14:26:00,2010-12,United Kingdom,United Kingdom,Weekday,360.06,90,5,17739
538865,2010-12-14 14:37:00,2010-12,United Kingdom,United Kingdom,Weekday,91.15,33,5,13238
538866,2010-12-14 14:40:00,2010-12,United Kingdom,United Kingdom,Weekday,647.99,318,66,17841
538867,2010-12-14 14:41:00,2010-12,United Kingdom,United Kingdom,Weekday,3.75,1,1,
538868,2010-12-14 14:42:00,2010-12,United Kingdom,United Kingdom,Weekday,824.02,814,27,17017
538869,2010-12-14 14:50:00,2010-12,United Kingdom,United Kingdom,Weekday,61.05,43,3,15107
538870,2010-12-14 14:54:00,2010-12,United Kingdom,United Kingdom,Weekday,85.75,125,5,12829
538871,2010-12-14 15:02:00,2010-12,United Kingdom,United Kingdom,Weekday,476.70000000000005,186,6,14051
538872,2010-12-14 15:13:00,2010-12,United Kingdom,United Kingdom,Weekday,304.90000000000003,90,11,13097
538875,2010-12-14 15:18:00,2010-12,United Kingdom,United Kingdom,Weekday,307.8,106,9,13756
538877,2010-12-14 15:29:00,2010-12,United Kingdom,United Kingdom,Weekday,12681.58,2150,148,
538878,2010-12-14 15:43:00,2010-12,United Kingdom,United Kingdom,Weekday,267.0,104,8,13767
538879,2010-12-14 15:50:00,2010-12,United Kingdom,United Kingdom,Weekday,338.98,402,19,15392
538880,2010-12-14 15:52:00,2010-12,United Kingdom,United Kingdom,Weekday,638.74,89,57,
538881,2010-12-14 15:54:00,2010-12,United Kingdom,United Kingdom,Weekday,718.3499999999999,80,48,
538883,2010-12-14 15:56:00,2010-12,United Kingdom,United Kingdom,Weekday,1308.63,149,78,
538884,2010-12-14 15:56:00,2010-12,United Kingdom,United Kingdom,Weekday,518.73,62,41,
538885,2010-12-14 15:58:00,2010-12,United Kingdom,United Kingdom,Weekday,20.25,3,1,
538886,2010-12-14 16:07:00,2010-12,United Kingdom,United Kingdom,Weekday,411.4,234,28,13846
538888,2010-12-14 16:23:00,2010-12,United Kingdom,United Kingdom,Weekday,125.56,114,14,17912
538890,2010-12-14 16:39:00,2010-12,United Kingdom,United Kingdom,Weekday,362.79,377,53,12867
538892,2010-12-14 16:53:00,2010-12,United Kingdom,United Kingdom,Weekday,17.4,12,1,16422
538894,2010-12-14 17:22:00,2010-12,United Kingdom,United Kingdom,Weekday,202.45,87,25,16161
538895,2010-12-15 09:07:00,2010-12,United Kingdom,United Kingdom,Weekday,247.38,370,15,14401
538896,2010-12-15 09:09:00,2010-12,United Kingdom,United Kingdom,Weekday,302.78,270,17,16145
538899,2010-12-15 09:49:00,2010-12,United Kingdom,United Kingdom,Weekday,123.1,58,5,16817
538900,2010-12-15 09:51:00,2010-12,United Kingdom,United Kingdom,Weekday,366.77,135,19,13078
538901,2010-12-15 09:58:00,2010-12,United Kingdom,United Kingdom,Weekday,238.65,115,11,17629
538902,2010-12-15 10:04:00,2010-12,United Kingdom,United Kingdom,Weekday,306.18,262,12,14150
538903,2010-12-15 10:17:00,2010-12,United Kingdom,United Kingdom,Weekday,501.01,229,26,13496
538905,2010-12-15 10:31:00,2010-12,United Kingdom,United Kingdom,Weekday,303.15000000000003,183,15,13611
538907,2010-12-15 10:40:00,2010-12,United Kingdom,United Kingdom,Weekday,202.79999999999998,24,5,15373
538908,2010-12-15 10:41:00,2010-12,United Kingdom,United Kingdom,Weekday,346.79999999999995,194,12,16954
538909,2010-12-15 10:48:00,2010-12,United Kingdom,United Kingdom,Weekday,97.5,18,5,13491
538910,2010-12-15 10:54:00,2010-12,United Kingdom,United Kingdom,Weekday,165.85,59,9,17454
538917,2010-12-15 10:57:00,2010-12,United Kingdom,United Kingdom,Weekday,684.26,264,73,17449
538935,2010-12-15 11:08:00,2010-12,United Kingdom,United Kingdom,Weekday,186.64000000000001,71,12,18168
538942,2010-12-15 11:14:00,2010-12,United Kingdom,United Kingdom,Weekday,101.23,49,12,17346
538943,2010-12-15 11:15:00,2010-12,United Kingdom,United Kingdom,Weekday,253.2,168,4,14060
538944,2010-12-15 11:21:00,2010-12,United Kingdom,United Kingdom,Weekday,201.20000000000002,82,10,13295
538945,2010-12-15 11:22:00,2010-12,United Kingdom,United Kingdom,Weekday,1761.26,894,22,17230
538951,2010-12-15 11:26:00,2010-12,United Kingdom,United Kingdom,Weekday,201.84,60,42,16782
538967,2010-12-15 11:32:00,2010-12,United Kingdom,United Kingdom,Weekday,354.48,168,8,13495
538968,2010-12-15 11:34:00,2010-12,United Kingdom,United Kingdom,Weekday,303.57,248,20,15384
538991,2010-12-15 11:53:00,2010-12,United Kingdom,United Kingdom,Weekday,3240.4,3944,45,17511
538992,2010-12-15 11:56:00,2010-12,United Kingdom,United Kingdom,Weekday,428.82000000000005,135,28,15950
538993,2010-12-15 12:01:00,2010-12,United Kingdom,United Kingdom,Weekday,101.2,56,6,15512
538994,2010-12-15 12:05:00,2010-12,United Kingdom,United Kingdom,Weekday,422.70000000000005,82,9,17525
538995,2010-12-15 12:05:00,2010-12,United Kingdom,United Kingdom,Weekday,1185.8600000000001,506,30,13458
538996,2010-12-15 12:06:00,2010-12,United Kingdom,United Kingdom,Weekday,332.1,38,5,15465
538998,2010-12-15 12:08:00,2010-12,United Kingdom,United Kingdom,Weekday,2605.88,1101,15,15061
538999,2010-12-15 12:09:00,2010-12,United Kingdom,United Kingdom,Weekday,1181.0,184,20,16003
539000,2010-12-15 12:27:00,2010-12,United Kingdom,United Kingdom,Weekday,185.45,31,7,13092
539001,2010-12-15 12:29:00,2010-12,United Kingdom,United Kingdom,Weekday,102.0,24,1,16353
539002,2010-12-15 12:30:00,2010-12,United Kingdom,United Kingdom,Weekday,269.31,51,29,14527
539004,2010-12-15 12:43:00,2010-12,United Kingdom,United Kingdom,Weekday,336.98,142,9,13426
539005,2010-12-15 12:47:00,2010-12,United Kingdom,United Kingdom,Weekday,20.4,24,1,16638
539006,2010-12-15 12:54:00,2010-12,United Kingdom,United Kingdom,Weekday,102.28,34,4,15101
539007,2010-12-15 13:00:00,2010-12,United Kingdom,United Kingdom,Weekday,105.88,34,17,17894
539008,2010-12-15 13:21:00,2010-12,United Kingdom,United Kingdom,Weekday,307.8,124,8,17033
539009,2010-12-15 13:24:00,2010-12,United Kingdom,United Kingdom,Weekday,498.16,153,35,13221
539010,2010-12-15 13:24:00,2010-12,United Kingdom,United Kingdom,Weekday,247.91,148,45,15005
539011,2010-12-15 13:25:00,2010-12,United Kingdom,United Kingdom,Weekday,67.24000000000001,132,4,14201
539012,2010-12-15 13:26:00,2010-12,United Kingdom,United Kingdom,Weekday,1305.6,1536,8,17858
539013,2010-12-15 13:29:00,2010-12,United Kingdom,United Kingdom,Weekday,38.25,3,1,
539014,2010-12-15 13:37:00,2010-12,United Kingdom,United Kingdom,Weekday,343.26,384,25,17692
539015,2010-12-15 13:38:00,2010-12,United Kingdom,United Kingdom,Weekday,440.2,160,16,15822
539016,2010-12-15 13:49:00,2010-12,United Kingdom,United Kingdom,Weekday,571.48,198,15,13418
539017,2010-12-15 13:50:00,2010-12,United Kingdom,United Kingdom,Weekday,15.8,4,1,13418
