description,total_revenue,units_sold,orders,average_unit_price
STRAWBERRY SHOPPER BAG,3561.98,2855,412,1.6730215827338129
ANTIQUE TALL SWIRLGLASS TRINKET POT,3560.74,870,203,4.955615763546798
RED BABY BUNTING,3559.0,1128,234,3.7677777777777783
RIBBON REEL CHRISTMAS SOCK BAUBLE,3556.97,1818,318,2.3681619937694705
WHITE ROCKING HORSE HAND PAINTED,3551.53,2849,192,1.4668316831683168
SET OF 36 PAISLEY FLOWER DOILIES,3545.6,2219,360,2.144388888888889
IVORY WICKER HEART LARGE,3542.7099999999996,2059,287,1.7616891891891888
BUNDLE OF 3 RETRO NOTE BOOKS,3529.8899999999994,2141,276,1.8762411347517731
BAG 125g SWIRLY MARBLES,3528.89,9390,294,0.495738255033557
RETROSPOT LAMP,3521.54,330,155,11.514709677419354
DOORMAT PEACE ON EARTH BLUE,3519.6600000000003,705,32,9.140625
ZINC HERB GARDEN CONTAINER,3516.64,556,204,6.744
VINTAGE PAISLEY STATIONERY SET,3510.72,1901,436,2.065475113122172
6 GIFT TAGS VINTAGE CHRISTMAS,3510.0499999999997,4007,327,0.9988519637462235
SET OF 12 FORK CANDLES,3507.51,1249,141,3.3956338028169015
GIRLS VINTAGE TIN SEASIDE BUCKET,3507.17,1330,231,3.261293103448276
"TRAY, BREAKFAST IN BED",3491.8599999999997,275,80,14.710749999999999
RED RETROSPOT CUP,3488.44,3969,387,1.0694117647058823
GAOLERS KEYS DECORATIVE GARDEN,3475.73,935,214,3.968046511627907
CHRISTMAS PUDDING TRINKET POT,3462.25,6729,241,1.0662948207171314
CAMOUFLAGE DESIGN TEDDY,3448.05,1631,36,2.4124999999999996
SET OF 9 HEART SHAPED BALLOONS,3445.5,2757,266,1.4632089552238805
ROLL WRAP VINTAGE SPOT,3445.08,2712,305,1.4612861736334404
METAL SIGN DROP YOUR PANTS,3444.4300000000003,1275,206,3.3344711538461542
RETROSPOT GIANT TUBE MATCHES,3442.5,1494,132,2.5266666666666664
IVORY HANGING DECORATION HEART,3442.45,3883,317,1.1086196319018404
MIRRORED DISCO BALL,3435.05,649,134,5.797388059701492
6 GIFT TAGS 50'S CHRISTMAS,3429.3999999999996,3740,322,0.9722121212121212
SET OF 5 MINI GROCERY MAGNETS,3423.29,1665,205,2.261497584541063
FELTCRAFT GIRL NICOLE KIT,3422.4,668,182,5.279782608695652
GLASS APOTHECARY BOTTLE ELIXIR,3419.5800000000004,856,209,4.863838862559241
TEA TIME KITCHEN APRON,3414.5000000000005,602,133,6.340522388059702
WOODLAND MINI BACKPACK,3411.34,816,152,4.640657894736842
COFFEE MUG DOG + BALL DESIGN,3409.21,1528,196,3.1201020408163265
FANCY FONTS BIRTHDAY WRAP,3409.0,8550,230,0.4182608695652174
OFFICE MUG WARMER BLACK+SILVER,3403.76,1132,142,4.082222222222223
SET 3 WICKER STORAGE BASKETS,3399.95,241,74,19.355405405405406
RED GINGHAM ROSE JEWELLERY BOX,3391.1499999999996,1740,286,2.321786941580756
SPACEBOY BIRTHDAY CARD,3387.5699999999997,8161,527,0.5244318181818182
CHARLIE+LOLA PINK HOT WATER BOTTLE,3384.98,1003,313,3.4974203821656054
BUTTON BOX,3378.5,1876,250,1.9483399209486165
VINTAGE 2 METRE FOLDING RULER,3374.0499999999997,1627,152,1.9993506493506492
SWEETHEART 3 TIER CAKE STAND,3371.58,284,158,12.072264150943397
PACK 3 BOXES CHRISTMAS PANNETONE,3359.8199999999997,1649,161,2.749156626506024
MOROCCAN TEA GLASS,3357.34,4162,125,1.01512
FLORAL FOLK STATIONERY SET,3355.84,1937,425,2.024824355971897
DOORMAT CHRISTMAS VILLAGE,3354.22,590,52,11.319807692307693
SET OF 4 KNICK KNACK TINS POPPIES,3353.84,842,178,4.393646408839779
HAPPY STENCIL CRAFT,3348.1800000000003,2823,281,1.3495070422535211
WATERING CAN PINK BUNNY,3342.8199999999997,1716,277,2.247849462365591
"DIAMANTE HEART SHAPED WALL MIRROR,",3328.2,415,146,11.87312925170068
RIBBON REEL HEARTS DESIGN,3325.29,1897,323,2.0423312883435583
SET 10 LIGHTS NIGHT OWL,3317.4700000000003,461,119,9.038333333333332
LARGE DECO JEWELLERY STAND,3302.44,263,95,12.99621052631579
FINE WICKER HEART,3301.73,2642,237,1.5268487394957984
JAM JAR WITH PINK LID,3288.11,3896,342,1.058187134502924
3 HOOK HANGER MAGIC GARDEN,3276.2099999999996,1703,159,2.8271249999999997
EMBOSSED GLASS TEALIGHT HOLDER,3273.5,2546,211,1.5488151658767773
SET OF 60 VINTAGE LEAF CAKE CASES,3272.61,6139,382,0.6942159383033419
SET 3 SONG BIRD PAPER EGGS ASSORTED,3271.4100000000003,1171,138,3.0120289855072464
SET OF 16 VINTAGE ROSE CUTLERY,3264.63,272,101,14.169411764705883
POTTING SHED TEA MUG,3259.75,2477,302,1.7556578947368422
BELLE JARDINIERE CUSHION COVER,3257.08,748,210,4.915592417061611
RECYCLED ACAPULCO MAT PINK,3254.32,364,164,9.819390243902438
20 DOLLY PEGS RETROSPOT,3251.6,2448,222,1.569642857142857
GREEN CHRISTMAS TREE CARD HOLDER,3245.68,1266,192,3.9398969072164944
ENAMEL WATERING CAN CREAM,3241.34,617,195,5.763367346938776
POPPY'S PLAYHOUSE LIVINGROOM,3236.5400000000004,1447,328,2.5151975683890577
RECYCLED ACAPULCO MAT BLUE,3223.49,365,162,9.636790123456791
WRAP ALPHABET DESIGN,3217.92,7976,235,0.41736170212765955
12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,355,0.7885479452054794
HOME SWEET HOME CUSHION COVER,3207.91,801,229,4.481428571428571
VICTORIAN METAL POSTCARD SPRING,3206.0,2869,177,1.8941208791208792
GLASS JAR ENGLISH CONFECTIONERY,3192.82,1010,214,3.937720930232558
SET/3 VANILLA SCENTED CANDLE IN BOX,3186.5,726,162,5.390864197530864
PACK OF 12 COLOURED PENCILS,3183.6299999999997,3947,219,0.9124886877828055
ROSE CARAVAN DOORSTOP,3162.24,562,162,7.511472392638037
MINT DINER WALL CLOCK,3159.41,371,162,8.835555555555555
DRAWER KNOB CERAMIC IVORY,3147.79,2155,190,1.646020942408377
WHITE WICKER STAR,3146.78,1469,294,2.251291390728477
HANGING METAL STAR LANTERN,3141.5399999999995,2053,198,1.87605
MINI WOODEN HAPPY BIRTHDAY GARLAND,3131.24,1811,224,2.377920353982301
GLASS CLOCHE SMALL,3131.02,804,142,4.9038775510204085
DINOSAUR LUNCH BOX WITH CUTLERY,3127.38,1281,213,3.0350467289719627
SPACEBOY BEAKER,3112.34,2628,184,1.5186559139784948
GREEN 3 PIECE POLKADOT CUTLERY SET,3110.9100000000003,850,79,4.340506329113924
BLUE POLKADOT CUP,3110.2599999999998,3570,325,1.113211009174312
RETROSPOT RED WASHING UP GLOVES,3088.86,1457,304,2.5132573289902282
GLITTER BUTTERFLY CLIPS,3074.7799999999997,1128,241,3.1662903225806454
VINTAGE 2 METER FOLDING RULER,3073.72,1844,181,1.8808196721311474
ALPHABET STENCIL CRAFT,3057.27,2697,186,1.3571505376344086
SWEETHEART BIRD HOUSE,3041.21,847,94,4.551500000000001
SET OF 4 NAPKIN CHARMS CUTLERY,3039.66,1251,125,2.8548837209302325
DECORATIVE WICKER HEART LARGE,3038.1899999999996,1767,233,1.7691199999999998
CHILDREN'S SPACEBOY MUG,3028.0399999999995,1771,227,1.9899561403508772
TABLECLOTH RED APPLES DESIGN,3027.3799999999997,305,122,10.172682926829268
TREASURE TIN BUFFALO BILL,3024.63,1470,214,2.2825345622119815
SET OF 6 T-LIGHTS SNOWMEN,3022.0800000000004,944,165,3.5977108433734943
SET OF SALT AND PEPPER TOADSTOOLS,3021.6,2472,199,1.2452261306532664
CARDHOLDER HOLLY WREATH METAL,3021.12,658,135,5.085037037037037
SET OF 4 KNICK KNACK TINS LEAF,3020.61,747,123,4.271626016260163
CITRONELLA CANDLE GARDEN POT,3010.65,1651,225,1.8948458149779734
CHRISTMAS METAL TAGS ASSORTED,3008.92,2991,172,2.2110857142857143
DOILEY STORAGE TIN,3004.46,1094,122,3.103008130081301
DOLLY GIRL MINI BACKPACK,2992.3900000000003,739,161,4.392682926829269
TROPICAL HONEYCOMB PAPER GARLAND,2987.82,1240,101,3.166153846153846
CERAMIC CHERRY CAKE MONEY BANK,2986.97,2214,276,2.1284420289855075
CHRISTMAS HANGING STAR WITH BELL,2981.8399999999997,5840,252,0.744638783269962
WRAP ENGLISH ROSE,2980.42,7201,248,0.41943548387096774
WOODLAND PARTY BAG + STICKER SET,2975.14,1840,183,2.0058469945355193
GINGHAM HEART DOORSTOP RED,2961.83,785,241,4.917489711934157
SET 12 KIDS COLOUR CHALK STICKS,2950.25,7199,369,0.5195967741935483
12 MESSAGE CARDS WITH ENVELOPES,2947.87,1733,251,2.0496899224806198
VINTAGE UNION JACK APRON,2939.51,407,169,8.065411764705884
SET OF 3 BLACK FLYING DUCKS,2934.8100000000004,577,111,6.268839285714286
GLASS CLOCHE LARGE,2934.53,350,57,10.711929824561404
RED ROCKING HORSE HAND PAINTED,2930.57,2329,160,1.5651851851851852
TEA TIME OVEN GLOVE,2927.55,2180,315,1.6214511041009463
S/4 CACTI CANDLES,2927.08,613,157,7.02828025477707
RIBBON REEL LACE DESIGN,2923.21,1369,192,2.6293401015228426
COTTON APRON PANTRY DESIGN,2917.4300000000003,633,164,5.315301204819277
BISCUIT TIN VINTAGE GREEN,2904.52,450,126,7.27
GLASS HEART T-LIGHT HOLDER,2893.77,3321,214,1.149158878504673
SPACEBOY CHILDRENS BOWL,2890.3500000000004,2430,214,1.4357009345794394
DOLLY GIRL BEAKER,2886.25,2451,174,1.5064204545454545
DOORMAT VINTAGE LEAVES DESIGN,2881.18,430,91,7.847912087912087
FLOWERS CHANDELIER T-LIGHT HOLDER,2879.37,960,38,6.182564102564102
RED DRAWER KNOB ACRYLIC EDWARDIAN,2871.75,2254,140,1.5968794326241134
MODERN FLORAL STATIONERY SET,2870.0,1672,366,1.9954200542005418
PACK OF 60 MUSHROOM CAKE CASES,2869.9,5199,393,0.8403266331658291
RETROSPOT PADDED SEAT CUSHION,2860.98,750,83,4.555903614457831
STOOL HOME SWEET HOME,2860.58,237,114,12.967478260869566
ENAMEL WASH BOWL CREAM,2855.21,742,208,4.903253588516746
CHEST OF DRAWERS GINGHAM HEART,2851.3599999999997,163,91,18.919890109890108
PLAYING CARDS JUBILEE UNION JACK,2848.89,1927,208,1.3483410138248846
BAKING MOULD HEART MILK CHOCOLATE,2846.8,1108,189,3.073350785340314
HEART WREATH DECORATION WITH BELL,2845.89,2284,185,1.4963157894736843
EMPIRE UNION JACK TV DINNER TRAY,2839.21,880,125,6.91288
VICTORIAN SEWING KIT,2822.58,2518,140,1.3965248226950355
BLUE PARTY BAGS,2822.32,1480,118,2.182372881355932
TOY TIDY SPACEBOY,2815.46,1312,285,2.6916433566433566
RED RETROSPOT TEA CUP AND SAUCER,2811.17,848,162,3.9930120481927713
BLUE POLKADOT WRAP,2809.34,6927,217,0.41695852534562206
RED HEART SHAPE LOVE BUCKET,2803.13,1395,159,3.200062893081761
CUPBOARD 3 DRAWER MA CAMPAGNE,2786.0299999999997,171,112,17.674464285714286
SWEETHEART WIRE MAGAZINE RACK,2784.9,326,182,9.025934065934067
WHITE LOVEBIRD LANTERN,2764.0600000000004,834,164,3.735454545454546
BUNDLE OF 3 SCHOOL EXERCISE BOOKS,2761.8999999999996,1702,202,1.7966009852216749
JAM JAR WITH GREEN LID,2760.71,3266,306,1.0840259740259741
BLUE GIANT GARDEN THERMOMETER,2757.4700000000003,449,182,6.510491803278689
WALL ART 70'S ALPHABET,2757.06,356,74,10.14864864864865
SMALL HEART MEASURING SPOONS,2754.16,2847,472,1.2229853862212943
SINGLE ANTIQUE ROSE HOOK IVORY,2752.2,1868,261,1.5256226415094338
CHEST NATURAL WOOD 20 DRAWERS,2745.0,24,13,118.07692307692308
SET OF 3 WOODEN STOCKING DECORATION,2743.82,2053,319,1.454005934718101
PINK DINER WALL CLOCK,2741.35,307,121,9.943057851239669
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,2739.4,2075,191,1.5244102564102564
SILVER BELLS TABLE DECORATION,2739.38,2166,257,1.426235741444867
CHILDRENS DOLLY GIRL MUG,2729.6899999999996,1598,204,2.044390243902439
PACK OF 12 HEARTS DESIGN TISSUES,2729.5099999999998,8775,427,0.4177389277389277
6 EGG HOUSE PAINTED WOOD,2726.43,299,155,9.944580645161292
GLITTER HANGING BUTTERFLY STRING,2722.9500000000003,1314,194,2.452060301507538
REGENCY CAKE SLICE,2718.65,578,92,5.579673913043479
ZINC WILLIE WINKIE CANDLE STICK,2712.7,2933,268,1.0908487084870848
SET OF 2 TRAYS HOME SWEET HOME,2709.43,265,133,10.68142857142857
PINK POLKADOT CUP,2707.34,3016,307,1.1209354838709678
GREEN GIANT GARDEN THERMOMETER,2704.71,430,148,6.6860135135135135
OVERNIGHT BAG VINTAGE ROSE PAISLEY,2704.35,405,178,7.358076923076922
VANILLA SCENT CANDLE JEWELLED BOX,2696.48,1396,106,4.566851851851852
IVORY WICKER HEART MEDIUM,2695.45,2089,233,1.3329218106995884
RIBBON REEL CHRISTMAS PRESENT,2694.15,1388,259,2.3409022556390977
SET OF 3 WOODEN SLEIGH DECORATIONS,2690.81,1963,299,1.496592356687898
BLACK AND WHITE CAT BOWL,2684.6499999999996,1363,49,2.037755102040816
DOORMAT I LOVE LONDON,2678.96,364,102,9.895098039215686
DOORMAT WELCOME SUNRISE,2678.77,371,120,9.365499999999999
GIRLS ALPHABET IRON ON PATCHES,2678.33,12442,147,0.3868027210884354
SPACEBOY GIFT WRAP,2673.34,6527,208,0.41865384615384615
WATERING CAN GREEN DINOSAUR,2667.5,1394,227,2.2754148471615716
PARTY CONE CHRISTMAS DECORATION,2664.6299999999997,2277,110,1.7685840707964602
ROUND CONTAINER SET OF 5 RETROSPOT,2661.89,1603,238,2.0687866108786612
MA CAMPAGNE CUTLERY BOX,2661.7999999999997,168,101,16.81356435643564
LARGE CAKE TOWEL CHOCOLATE SPOTS,2661.67,925,104,5.374259259259259
PACK OF 6 SWEETIE GIFT BOXES,2649.35,1061,102,3.129326923076923
TRIPLE HOOK ANTIQUE IVORY ROSE,2645.26,798,227,3.5144155844155844
N0 SINGING METAL SIGN,2639.42,1225,49,2.673673469387755
TOTE BAG I LOVE LONDON,2633.28,1288,136,2.6674264705882353
FOLKART ZINC HEART CHRISTMAS DEC,2629.81,2986,244,1.1341129032258064
FLUTED ANTIQUE CANDLE HOLDER,2622.93,2785,206,1.1530582524271844
ANTIQUE ALL GLASS CANDLESTICK,2614.05,1169,199,2.3111940298507463
UTILTY CABINET WITH HOOKS,2610.29,131,6,21.771666666666665
GARLAND WOODEN HAPPY EASTER,2609.43,1952,239,1.610539419087137
3 TRADITIONAl BISCUIT CUTTERS SET,2606.4100000000003,1209,232,2.3547210300429184
RECYCLED ACAPULCO MAT LAVENDER,2604.93,295,130,9.533076923076923
HALL CABINET WITH 3 DRAWERS,2603.5299999999997,76,5,56.508
BLACK AND WHITE DOG BOWL,2602.18,1196,52,2.634807692307693
VINTAGE LEAF MAGNETIC NOTEPAD,2601.15,1707,274,1.822230215827338
PINK OWL SOFT TOY,2594.23,877,171,3.462046783625731
PINK POLKADOT WRAP,2593.0,6350,213,0.4169014084507042
GLASS JAR DAISY FRESH COTTON WOOL,2592.33,727,268,4.470148698884758
BAKING MOULD EASTER EGG MILK CHOC,2585.92,940,122,3.48869918699187
CREAM WALL PLANTER HEART SHAPED,2582.75,433,158,6.442974683544304
TWO DOOR CURIO CABINET,2577.45,212,83,12.538554216867471
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,2576.03,1890,195,1.675846153846154
STOP FOR TEA WALL ART,2572.7,518,41,5.775853658536586
PENS ASSORTED FUNNY FACE,2571.4,9572,216,0.38857142857142857
SMALL DOLLY MIX DESIGN ORANGE BOWL,2564.99,5030,527,0.6323408239700373
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2561.02,1279,165,2.426547619047619
SPACEBOY CHILDRENS CUP,2557.57,2050,216,1.5344239631336405
KINGS CHOICE TEA CADDY,2551.2200000000003,698,255,4.32796875
TOADSTOOL MONEY BOX,2549.11,817,184,3.657795698924731
PINK DOUGHNUT TRINKET POT,2546.2999999999997,1728,241,2.1447368421052633
MISTLETOE HEART WREATH CREAM,2535.48,624,110,4.21018018018018
SET/20 STRAWBERRY PAPER NAPKINS,2531.04,2769,313,1.2559047619047619
LUNCH BAG RED VINTAGE DOILY,2525.04,1576,132,1.8662406015037591
FRENCH WC SIGN BLUE METAL,2516.75,1882,301,1.6347194719471947
CERAMIC STRAWBERRY MONEY BOX,2515.52,977,114,3.316695652173913
GLASS STAR FROSTED T-LIGHT HOLDER,2514.4300000000003,517,131,5.356641221374046
FRENCH BATHROOM SIGN BLUE METAL,2511.22,1476,219,2.0876923076923077
GINGHAM RECIPE BOOK BOX,2509.62,462,135,6.186740740740741
BAKING MOULD CHOCOLATE CUPCAKES,2502.04,948,157,2.928509316770186
RED REFECTORY CLOCK,2501.64,250,110,11.109454545454545
CREAM SLICE FLANNEL PINK SPOT,2492.71,901,97,3.8324489795918364
SET 12 COLOUR PENCILS SPACEBOY,2491.2000000000003,3278,282,0.7566666666666667
MAN FLU METAL SIGN,2490.13,1160,180,2.5055555555555555
6 RIBBONS ELEGANT CHRISTMAS,2489.0299999999997,1773,200,1.774009900990099
CAKE STAND WHITE TWO TIER LACE,2471.39,343,101,8.513465346534653
PAPER LANTERN 9 POINT SNOW STAR,2464.61,499,73,5.428681318681319
ROLL WRAP 50'S RED CHRISTMAS,2459.2,1800,212,1.511643192488263
VINTAGE BELLS GARLAND,2443.35,821,149,3.24283870967742
S/4 VALENTINE DECOUPAGE HEART BOX,2440.09,1483,131,2.8517557251908396
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,2429.4999999999995,1462,159,1.7914999999999999
KINGS CHOICE MUG,2429.38,2055,148,1.8340268456375837
AIRLINE BAG VINTAGE JET SET RED,2427.52,546,223,4.770178571428572
STAR WOODEN CHRISTMAS DECORATION,2423.0,2684,221,1.121936936936937
HOME SWEET HOME KEY HOLDER,2422.6600000000003,456,111,7.10990990990991
CHARLIE + LOLA RED HOT WATER BOTTLE,2421.59,936,255,3.1212451361867704
SET OF 6 T-LIGHTS CACTI,2419.29,881,108,3.8372477064220183
SET OF 6 T-LIGHTS TOADSTOOLS,2417.73,818,195,3.7699492385786804
SET OF 9 BLACK SKULL BALLOONS,2417.24,2828,226,1.0173127753303963
BALLOONS WRITING SET,2410.43,1337,346,2.2488218390804597
SHELF WITH 4 HOOKS HOME SWEET HOME,2409.34,461,107,6.854074074074074
MAKE YOUR OWN FLOWERPOWER CARD KIT,2408.54,930,206,3.649323671497585
SET OF 3 WOODEN TREE DECORATIONS,2404.79,1769,293,1.4839016393442621
36 PENCILS TUBE SKULLS,2395.05,1795,263,1.6181954887218044
BLUE SAVANNAH PICNIC HAMPER FOR 2,2393.5899999999997,256,124,9.261209677419354
OVAL WALL MIRROR DIAMANTE,2391.12,236,156,10.774935897435897
BOX OF 6 ASSORTED COLOUR TEASPOONS,2389.52,558,210,4.66047619047619
ASSTD DESIGN RACING CAR PEN,2389.44,1615,113,1.89
12 EGG HOUSE PAINTED WOOD,2378.52,149,99,17.214646464646464
BALLOON WATER BOMB PACK OF 35,2375.04,6010,154,0.4556050955414013
12 PENCILS TALL TUBE RED RETROSPOT,2374.81,2737,268,0.9340072202166064
HANGING HEART WITH BELL,2374.7999999999997,4619,219,0.9162995594713657
CLASSIC BICYCLE CLIPS,2372.68,1640,99,1.657941176470588
BICYCLE SAFTEY WALL ART,2371.94,458,39,5.782307692307692
SET 20 NAPKINS FAIRY CAKES DESIGN,2368.64,2741,350,1.000593220338983
SET OF 10 LANTERNS FAIRY LIGHT STAR,2368.37,577,99,4.6737254901960785
TEA TIME TEAPOT IN GIFT BOX,2360.68,380,113,7.21141592920354
SKULLS AND CROSSBONES WRAP,2356.0,5800,165,0.41769696969696973
RUSTIC MIRROR WITH LACE HEART,2354.87,459,83,7.090361445783133
HEART MIRROR ANTIQUE WHITE,2354.8,358,76,7.724415584415584
SMALL RED RETROSPOT MUG IN BOX,2354.4,948,116,4.214017094017094
HEADS AND TAILS SPORTING FUN,2348.94,1975,209,1.4097641509433962
ENAMEL COLANDER CREAM,2346.1200000000003,460,166,5.719939759036144
LE JARDIN BOTANIQUE CUSHION COVER,2345.0,559,166,4.7814035087719295
50'S CHRISTMAS GIFT BAG LARGE,2343.63,1915,129,1.4265891472868217
CHERRY BLOSSOM DECORATIVE FLASK,2340.41,569,168,4.743265306122448
BIG DOUGHNUT FRIDGE MAGNETS,2334.94,1726,198,3.95715
WRAP PINK FAIRY CAKES,2331.0,5800,167,0.4168862275449102
36 PENCILS TUBE WOODLAND,2328.64,1739,185,1.5118279569892472
SET 36 COLOUR PENCILS SPACEBOY,2304.78,1705,185,1.5179032258064515
RED GINGHAM TEDDY BEAR,2302.94,770,169,3.6001775147929
HANGING JAM JAR T-LIGHT HOLDERS,2298.0499999999997,2813,92,1.0443478260869565
RIBBON REEL MAKING SNOWMEN,2297.1,1222,223,2.3843612334801763
ASSORTED COLOUR T-LIGHT HOLDER,2297.03,3619,120,0.8163636363636364
SWEETHEART WIRE WALL TIDY,2295.43,227,109,10.87275229357798
GROW YOUR OWN BASIL IN ENAMEL MUG,2292.9100000000003,1047,219,2.5595475113122172
DECORATIVE WICKER HEART MEDIUM,2286.97,1794,216,1.3630044843049327
DRAWER KNOB CRACKLE GLAZE GREEN,2284.12,1340,154,1.8390909090909089
GARLAND WITH STARS AND BELLS,2280.4700000000003,549,112,4.661504424778761
CACTI T-LIGHT CANDLES,2278.9,5321,143,0.9854545454545454
CHOCOLATE BOX RIBBONS,2275.61,1721,309,1.5672727272727272
POTTING SHED TWINE,2272.79,980,110,2.417927927927928
BLUE COAT RACK PARIS FASHION,2261.21,467,154,5.506387096774193
CARD BILLBOARD FONT,2256.56,5290,443,0.5251015801354402
POLYESTER FILLER PAD 40x40cm,2256.2,1556,185,1.45
SKETCHBOOK MAGNETIC SHOPPING LIST,2253.7,1442,246,1.95914979757085
VINTAGE BILLBOARD TEA MUG,2250.52,1949,86,1.7434883720930232
SMALL PARISIENNE HEART PHOTO FRAME,2239.2400000000002,939,142,2.7882394366197185
SWALLOWS GREETING CARD,2237.89,5527,274,0.4638181818181818
HANGING MINI COLOURED BOTTLES,2237.08,3442,76,2.638026315789473
SLATE TILE NATURAL HANGING,2235.9399999999996,1472,162,1.9492073170731707
PACK OF 20 SKULL PAPER NAPKINS,2233.1,2409,335,1.1530088495575221
VINTAGE RED ENAMEL TRIM JUG,2231.61,595,136,4.0433088235294115
TOADSTOOL BEDSIDE LIGHT,2225.45,251,106,8.936915887850466
STRAWBERRY RAFFIA FOOD COVER,2220.59,639,163,3.6676073619631904
CHRISTMAS RETROSPOT ANGEL WOOD,2219.83,2479,200,1.0747029702970297
KEY RING BASEBALL BOOT UNION JACK,2217.87,1821,112,1.4955263157894738
PACK OF 12 SUKI TISSUES,2215.6099999999997,7173,359,0.4738251366120218
CLASSIC FRENCH STYLE BASKET NATURAL,2213.42,522,106,4.930754716981132
BIRDHOUSE GARDEN MARKER,2210.62,1537,140,1.7830000000000001
CERAMIC CAKE DESIGN SPOTTED MUG,2206.63,1451,187,1.7963157894736843
LETTER HOLDER HOME SWEET HOME,2204.11,625,134,4.374
HEART WOODEN CHRISTMAS DECORATION,2199.5899999999997,2333,222,1.113125
RED RETROSPOT APRON,2199.52,334,131,7.234477611940299
"KEY FOB , SHED",2197.17,3228,372,0.9522252010723861
GLASS SONGBIRD STORAGE JAR,2191.84,180,76,12.99592105263158
ROCKING HORSE RED CHRISTMAS,2185.48,2434,254,1.0800387596899224
VINTAGE CHRISTMAS GIFT BAG LARGE,2182.39,1831,105,1.460952380952381
KNEELING MAT HOUSEWORK DESIGN,2181.4199999999996,1536,230,1.8876394849785407
KEY CABINET MA CAMPAGNE,2176.3199999999997,206,108,11.311666666666666
KINGS CHOICE BISCUIT TIN,2175.04,468,180,5.333888888888889
PACK OF 6 SANDCASTLE FLAGS ASSORTED,2172.2,2523,224,1.091578947368421
BOTTLE BAG RETROSPOT,2171.53,1330,207,2.423816425120773
6 CHOCOLATE LOVE HEART T-LIGHTS,2171.26,1061,142,2.542191780821918
3D VINTAGE CHRISTMAS STICKERS,2162.75,1645,188,1.5677894736842104
ICE CREAM BUBBLES,2161.24,2668,101,0.8659803921568627
WOODLAND HEIGHT CHART STICKERS,2160.0,724,119,3.8703361344537814
NOEL WOODEN BLOCK LETTERS,2159.7000000000003,352,133,6.868805970149254
WRAP RED APPLES,2158.26,5253,174,0.41908045977011493
TOILET METAL SIGN,2155.8900000000003,3883,405,0.7287931034482759
HERB MARKER BASIL,2153.34,3423,242,0.8603278688524589
PIZZA PLATE IN BOX,2153.06,592,179,4.238901098901099
RETROSPOT CIGAR BOX MATCHES,2149.07,2149,216,1.1326008968609864
REGENCY CAKE FORK,2145.3,1715,98,1.593061224489796
SET/6 PURPLE BUTTERFLY T-LIGHTS,2145.2000000000003,888,196,3.1656565656565654
CARD HOLDER GINGHAM HEART,2141.32,684,175,3.5053977272727277
DRAWER KNOB CRACKLE GLAZE BLUE,2138.6299999999997,1207,134,1.9329629629629628
STAR WREATH DECORATION WITH BELL,2138.42,1682,152,1.4865806451612902
CHINESE DRAGON PAPER LANTERNS,2136.34,5556,97,2.2792783505154635
CHILDREN'S CIRCUS PARADE MUG,2136.0099999999998,1255,144,2.033379310344827
DRAWER KNOB CRACKLE GLAZE PINK,2132.4999999999995,1266,153,1.8296078431372549
STRAWBERRY CERAMIC TRINKET POT,2131.2200000000003,1369,125,1.7832539682539683
PARTY CONES CANDY ASSORTED,2127.53,1762,76,1.395921052631579
TRAVEL CARD WALLET I LOVE LONDON,2126.55,4733,241,0.5217213114754098
SEWING BOX RETROSPOT DESIGN,2124.54,209,86,13.27546511627907
POMPOM CURTAIN,2124.15,424,82,6.083414634146342
PACK OF 12 RED RETROSPOT TISSUES,2121.18,6685,297,0.40671140939597317
CERAMIC CAKE BOWL + HANGING CAKES,2117.54,714,134,3.6647058823529415
WOODEN REGATTA BUNTING,2116.04,333,150,6.843999999999999
RED METAL BEACH SPADE,2113.39,1493,229,1.7087826086956521
HEART DECORATION WITH PEARLS,2113.1299999999997,2196,256,1.1691570881226052
PAPER LANTERN 9 POINT DELUXE STAR,2111.4900000000002,349,36,6.809444444444445
WRAP VINTAGE LEAF DESIGN,2109.42,5251,134,0.4173333333333333
TEA FOR ONE POLKADOT,2108.18,420,168,5.823214285714285
WRAP POPPIES DESIGN,2105.5,5175,158,0.41861635220125787
3D TRADITIONAL CHRISTMAS STICKERS,2095.08,1583,197,1.5160696517412937
TRAVEL CARD WALLET VINTAGE TICKET,2094.93,4801,408,0.5296385542168675
IVORY REFECTORY CLOCK,2094.24,213,86,10.776511627906977
VINTAGE RED ENAMEL TRIM MUG,2090.75,1700,119,1.4140336134453781
RED SPOT GIFT BAG LARGE,2089.92,1713,103,1.3771844660194175
SET 12 LAVENDER BOTANICAL T-LIGHTS,2086.69,763,76,3.0362337662337664
"FANCY FONT BIRTHDAY CARD,",2085.89,4922,323,0.509969040247678
CHRISTMAS GINGHAM STAR,2085.64,2263,198,1.12425
MAKE YOUR OWN MONSOON CARD KIT,2084.8500000000004,867,172,3.1233333333333335
MINI CAKE STAND HANGING STRAWBERY,2083.19,1375,220,2.086160714285714
DOG LICENCE WALL ART,2081.64,408,29,5.745172413793104
CERAMIC STRAWBERRY DESIGN MUG,2081.54,1780,173,1.6124293785310733
